code_uic,libelle,fret,voyageurs,code_ligne,rg_troncon,pk,commune,departemen,idreseau,idgaia,x_l93,y_l93,x_wgs84,y_wgs84,c_geo.lon,c_geo.lat,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
87753467,Fos-Graveleau,O,N,935904,1,024+891,FOS-SUR-MER,BOUCHES-DU-RHONE,81568,e540a82c-6667-11e3-a7ff-01f464e0362d,848811.3805999979,6258646.3103,4.836557413427735,43.411357759820376,4.836557413427735,43.411357759820376,4.8365574134277365,43.41135775979667,Feature,"[4.836557413427736, 43.41135775979667]",Point
87411454,Montérolier-Buchy,N,O,321000,1,089+245,BUCHY,SEINE-MARITIME,5605,291484de-dfbc-11e3-a2ff-01a464e0362d,579670.814199999,6946166.572299998,1.336076059966942,49.603288560518415,1.3360760599669417,49.603288560518415,1.3360760599669406,49.60328856050004,Feature,"[1.336076059966941, 49.60328856050004]",Point
87713859,Is-sur-Tille,O,O,838000,1,305+566,MARCILLY-SUR-TILLE,COTE-D'OR,4496,d9c98fb2-6667-11e3-89ff-01f464e0362d,860256.2731999978,6715479.904199999,5.129777870847223,47.52023448752397,5.129777870847223,47.52023448752397,5.129777870847224,47.520234487511665,Feature,"[5.129777870847224, 47.520234487511665]",Point
87773408,Lunel,N,O,810000,1,053+478,LUNEL,HERAULT,5272,d9828b82-6667-11e3-89ff-01f464e0362d,791232.3476999998,6287381.226199999,4.13115223064578,43.67958578801083,4.13115223064578,43.67958578801083,4.131152230645781,43.67958578798777,Feature,"[4.131152230645781, 43.67958578798777]",Point
87393058,Champ-de-Mars-Tour-Eiffel,N,O,962000,1,002+100,PARIS,PARIS,3600,e1a98746-19bf-11e5-a6ff-01fc64e0362d,647731.0199000016,6861767.610300001,2.287661980210214,48.85382608574039,2.287661980210214,48.85382608574039,2.2876619802102134,48.85382608571832,Feature,"[2.287661980210213, 48.85382608571832]",Point
87486571,St-Gilles-Croix-de-Vie,N,O,535000,1,012+715,SAINT-GILLES-CROIX-DE-VIE,VENDEE,3888,d984ec28-6667-11e3-89ff-01f464e0362d,322641.2703000009,6633633.660599999,-1.941609608187195,46.696491785801165,-1.9416096081871947,46.696491785801165,-1.9416096081871987,46.69649178578645,Feature,"[-1.941609608187199, 46.69649178578645]",Point
87116137,Longueville,O,O,001000,1,088+176,LONGUEVILLE,SEINE-ET-MARNE,5222,29dd67f4-dfbc-11e3-a2ff-01a464e0362d,718490.3338000029,6823720.5233,3.250354020039758,48.513466492488654,3.250354020039758,48.513466492488654,3.250354020039758,48.51346649246482,Feature,"[3.250354020039758, 48.51346649246482]",Point
87681361,Évry,N,O,745000,1,029+476,EVRY-COURCOURONNES,ESSONNE,4112,e0182ca4-19bf-11e5-82ff-01fc64e0362d,659630.9522999972,6837298.334600002,2.452145652339384,48.634608020746256,2.4521456523393836,48.634608020746256,2.452145652339383,48.63460802072307,Feature,"[2.452145652339383, 48.63460802072307]",Point
87171322,Breuil-Romain,N,O,205000,1,034+331,BREUIL-SUR-VESLE,MARNE,3388,e177f1d2-19bf-11e5-a6ff-01fc64e0362d,755779.8423999995,6912357.759199999,3.766878024994296,49.308381394703375,3.766878024994296,49.308381394703375,3.766878024994297,49.308381394683565,Feature,"[3.766878024994297, 49.308381394683565]",Point
87751602,L'Estaque,N,O,939001,1,851+699,MARSEILLE,BOUCHES-DU-RHONE,4569,29844138-dfbc-11e3-a2ff-01a464e0362d,888240.380400002,6254395.918499999,5.321378031505878,43.363795125943106,5.321378031505878,43.363795125943106,5.32137803150588,43.363795125919275,Feature,"[5.32137803150588, 43.363795125919275]",Point
87677120,St-Jean-de-Luz-Ciboure,N,O,655000,1,220+393,SAINT-JEAN-DE-LUZ,PYRENEES-ATLANTIQUES,6504,e199432a-19bf-11e5-a6ff-01fc64e0362d,322338.27910000086,6265205.758200001,-1.661120875576861,43.385630538051984,-1.6611208755768612,43.385630538051984,-1.6611208755768643,43.38563053802819,Feature,"[-1.661120875576864, 43.38563053802819]",Point
